"id"	"geneSymbol"	"barcode"	"marker"	"cellType"	"data"
"ENSG00000038945"	"MSR1"	0.969974116677962	"Alveolar macrophage_HLCA_marker"	"Alveolar macrophage"	"hlca"
"ENSG00000170323"	"FABP4"	0.995483249874195	"Alveolar macrophage_HLCA_marker"	"Alveolar macrophage"	"hlca"
"ENSG00000183019"	"MCEMP1"	0.0415923297449463	"Alveolar macrophage_cellRef_marker"	"Alveolar macrophage"	"hlca"
"ENSG00000102575"	"ACP5"	0.999921038852602	"Alveolar macrophage_cellRef_marker"	"Alveolar macrophage"	"hlca"
"ENSG00000131471"	"AOC3"	0.143867626888514	"Alveolar fibroblast 2_HLCA_marker"	"Alveolar macrophage"	"hlca"
"ENSG00000139329"	"LUM"	0.118380659563194	"Alveolar fibroblast 2_HLCA_marker"	"Alveolar macrophage"	"hlca"
"ENSG00000136546"	"SCN7A"	0.000724884201712905	"Alveolar fibroblast 2_cellRef_marker"	"Alveolar macrophage"	"hlca"
"ENSG00000077943"	"ITGA8"	0	"Alveolar fibroblast 2_cellRef_marker"	"Alveolar macrophage"	"hlca"
"ENSG00000038945"	"MSR1"	8.92352858272716e-12	"Alveolar macrophage_HLCA_marker"	"Alveolar fibroblast 2"	"hlca"
"ENSG00000170323"	"FABP4"	0.681873454759835	"Alveolar macrophage_HLCA_marker"	"Alveolar fibroblast 2"	"hlca"
"ENSG00000183019"	"MCEMP1"	2.49936782859006e-06	"Alveolar macrophage_cellRef_marker"	"Alveolar fibroblast 2"	"hlca"
"ENSG00000102575"	"ACP5"	4.84459838986373e-05	"Alveolar macrophage_cellRef_marker"	"Alveolar fibroblast 2"	"hlca"
"ENSG00000131471"	"AOC3"	0.781710906627516	"Alveolar fibroblast 2_HLCA_marker"	"Alveolar fibroblast 2"	"hlca"
"ENSG00000139329"	"LUM"	0.999967830275428	"Alveolar fibroblast 2_HLCA_marker"	"Alveolar fibroblast 2"	"hlca"
"ENSG00000136546"	"SCN7A"	0.88039223790766	"Alveolar fibroblast 2_cellRef_marker"	"Alveolar fibroblast 2"	"hlca"
"ENSG00000077943"	"ITGA8"	0.280611460695351	"Alveolar fibroblast 2_cellRef_marker"	"Alveolar fibroblast 2"	"hlca"
"ENSG00000038945"	"MSR1"	0.902359285130312	"Alveolar macrophage_HLCA_marker"	"Alveolar macrophage"	"cellRef"
"ENSG00000170323"	"FABP4"	0.995632718608076	"Alveolar macrophage_HLCA_marker"	"Alveolar macrophage"	"cellRef"
"ENSG00000183019"	"MCEMP1"	0.0584787273251388	"Alveolar macrophage_cellRef_marker"	"Alveolar macrophage"	"cellRef"
"ENSG00000102575"	"ACP5"	0.99994136201167	"Alveolar macrophage_cellRef_marker"	"Alveolar macrophage"	"cellRef"
"ENSG00000131471"	"AOC3"	0.257681943798218	"Alveolar fibroblast 2_HLCA_marker"	"Alveolar macrophage"	"cellRef"
"ENSG00000139329"	"LUM"	0.0335908545634354	"Alveolar fibroblast 2_HLCA_marker"	"Alveolar macrophage"	"cellRef"
"ENSG00000136546"	"SCN7A"	0.000767616126718051	"Alveolar fibroblast 2_cellRef_marker"	"Alveolar macrophage"	"cellRef"
"ENSG00000077943"	"ITGA8"	0	"Alveolar fibroblast 2_cellRef_marker"	"Alveolar macrophage"	"cellRef"
"ENSG00000038945"	"MSR1"	8.75894174223735e-06	"Alveolar macrophage_HLCA_marker"	"Alveolar fibroblast 2"	"cellRef"
"ENSG00000170323"	"FABP4"	0.82060247120953	"Alveolar macrophage_HLCA_marker"	"Alveolar fibroblast 2"	"cellRef"
"ENSG00000183019"	"MCEMP1"	2.36685098997658e-06	"Alveolar macrophage_cellRef_marker"	"Alveolar fibroblast 2"	"cellRef"
"ENSG00000102575"	"ACP5"	3.9587978336586e-06	"Alveolar macrophage_cellRef_marker"	"Alveolar fibroblast 2"	"cellRef"
"ENSG00000131471"	"AOC3"	0.0144237053272913	"Alveolar fibroblast 2_HLCA_marker"	"Alveolar fibroblast 2"	"cellRef"
"ENSG00000139329"	"LUM"	0.999948041782724	"Alveolar fibroblast 2_HLCA_marker"	"Alveolar fibroblast 2"	"cellRef"
"ENSG00000136546"	"SCN7A"	0.45168266214343	"Alveolar fibroblast 2_cellRef_marker"	"Alveolar fibroblast 2"	"cellRef"
"ENSG00000077943"	"ITGA8"	0.00106248972951417	"Alveolar fibroblast 2_cellRef_marker"	"Alveolar fibroblast 2"	"cellRef"
