id	sym	barcode	marker	cellType	data	target_cellType
ENSG00000007933	FMO3	2.83316911597886e-10	Multiciliated (nasal)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000009790	TRAF3IP3	0.000451704176125889	Innate lymphoid cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000010327	STAB1	6.4676080115289e-05	Interstitial Mph perivascular_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000025423	HSD17B6	0.000206329051748666	AT0_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000028277	POU2F2	0.0364942888562829	Patrolling monocyte_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000038427	VCAN	0.975524752740493	Inflammatory monocyte_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000038945	MSR1	0.969974116677962	Alveolar macrophages_hlca	Alveolar macrophages	hlca	TRUE
ENSG00000041982	TNC	1.2490009027033e-16	Suprabasal_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000049768	FOXP3	3.34336510842033e-10	T regulatory cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000050165	DKK3	5.18126002585495e-05	Myofibroblasts_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000050730	TNIP3	3.09935553470808e-05	Alveolar Mph CCL3+_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000051128	HOMER3	0.00122547398287587	Tuft_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000070031	SCT	0	Plasmacytoid DC_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000072694	FCGR2B	0.000126618760654562	Interstitial Mph perivascular_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000077943	ITGA8	0	Alveolar fibroblast 1_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000078898	BPIFB2	1.17285439640627e-08	SMG mucous_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000078898	BPIFB2	1.17285439640627e-08	Mucous cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000085265	FCN1	0.106677855351661	Classical monocyte_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000100292	HMOX1	0.900046821997651	Alveolar Mph MT-positive_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000100604	CHGA	0	Neuroendocrine_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000100604	CHGA	0	Pulmonary neuroendocrine cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000101162	TUBB1	1.13492146246487e-05	Megakaryocyte/Platelet_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000101955	SRPX	0.0317420544339135	Venous endothelial cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000101955	SRPX	0.0317420544339135	EC venous pulmonary_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000102575	ACP5	0.999921038852602	Alveolar macrophage_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000102962	CCL22	1.82763526535012e-12	Mature DC subset_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000102962	CCL22	1.82763526535012e-12	Migratory DCs_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000104332	SFRP1	4.20712238457556e-07	Myoepithelial cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000104972	LILRB1	0.28943711073671	Non-classical monocyte_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000105369	CD79A	2.81711076355329e-07	B cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000105374	NKG7	0.0996845285894171	CD8+ T cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000106819	ASPN	3.89674834067044e-09	Myofibroblasts_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000106819	ASPN	3.89674834067044e-09	Secondary crest myofibroblast_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000107562	CXCL12	0.000192819219186458	Subpleural fibroblasts_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000107796	ACTA2	0.168550274678235	Smooth muscle cell_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000111215	PRR4	0.0990485229694101	SMG serous (bronchial)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000111404	RERGL	9.54097911787244e-17	SM activated stress response_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000111796	KLRB1	0.000936623264812808	Natural killer cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000114200	BCHE	1.92088012163083e-12	Airway smooth muscle cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000114200	BCHE	1.92088012163083e-12	Myofibroblasts_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000114638	UPK1B	2.25514051876985e-17	Suprabasal cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000115112	TFCP2L1	0.192011100732715	Club (nasal)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000115523	GNLY	0.127269710855534	Natural killer cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000116690	PRG4	1.25199850486979e-12	Mesothelium_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000117724	CENPF	9.01433351963021e-07	Lymphatic EC proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000118513	MYB	0.0219686456824929	Tuft_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000122852	SFTPA1	0.44321382311908	AT2_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000122852	SFTPA1	0.44321382311908	Alveolar type 2 cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000124491	F13A1	0.000323499365942781	Interstitial Mph perivascular_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000124491	F13A1	0.000323499365942781	Interstitial macrophage_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000126549	STATH	2.99439381744196e-19	SMG serous (nasal)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000126861	OMG	0	Multiciliated (nasal)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000128422	KRT17	7.54951656745106e-15	Basal resting_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000129226	CD68	NA	Monocyte-derived Mph_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000130300	PLVAP	0.00617198520724016	EC venous systemic_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000130300	PLVAP	0.00617198520724016	Systemic venous endothelial cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000131042	LILRB2	0.408482024538405	Non-classical monocyte_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000131042	LILRB2	0.408482024538405	Patrolling monocyte_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000131097	HIGD1B	5.55111512312578e-17	Pericytes_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000131097	HIGD1B	5.55111512312578e-17	Pericyte_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000131203	IDO1	0.00156843787933281	Classical DC subset 1_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000131400	NAPSA	0.014493379502924	Alveolar type 2 cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000131471	AOC3	0.143867626888514	Alveolar fibroblasts_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000131747	TOP2A	0	AT2 proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000132465	JCHAIN	0.0385977855199489	Plasma cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000132465	JCHAIN	0.0385977855199489	Plasmacytoid DCs_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000132514	CLEC10A	0.000762813335603574	DC2_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000132514	CLEC10A	0.000762813335603574	Classical DC subset 2_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000133392	MYH11	0.000206691145462623	Vascular smooth muscle cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000134443	GRP	0	Neuroendocrine_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000134443	GRP	0	Pulmonary neuroendocrine cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000134986	NREP	0.00639303372971201	Tuft cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000135549	PKIB	1.00462964508496e-06	Classical DC subset 2_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000136160	EDNRB	0.00104633335380877	EC aerocyte capillary_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000136160	EDNRB	0.00104633335380877	Capillary 2 cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000136546	SCN7A	0.000724884201712905	Alveolar fibroblast 1_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000137077	CCL21	0.00570534456540983	Lymphatic endothelial cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000137077	CCL21	0.00570534456540983	Lymphatic EC mature_hlca	Alveolar macrophages	hlca	FALSE
