"ENSEMBLID"	"Gene"	"Log.Fold.Change"	"Effect.Size"	"Adjusted.P.Value"	"prior_prob_off"	"prior_prob_on"	"clusterName"	"barcode"	"marker"	"cellType"	"data"	"target"	"expProb"
"ENSG00000010278"	"CD9"	1.38	1.241	0	0.535592389054134	0.464407610945866	"Alveolar macrophages"	0.999999975165817	"Alveolar macrophages"	"Alveolar macrophages"	"hlca"	TRUE	0.999999975165817
"ENSG00000010278"	"CD9"	1.38	1.241	0	0.535592389054134	0.464407610945866	"Alveolar macrophages"	0.999998531430637	"Alveolar macrophages"	"Monocyte-derived Mph"	"hlca"	FALSE	0.999998531430637
"ENSG00000010278"	"CD9"	1.38	1.241	0	0.535592389054134	0.464407610945866	"Alveolar macrophages"	0.999999969823335	"Alveolar macrophages"	"AT0"	"hlca"	FALSE	0.999999969823335
"ENSG00000010278"	"CD9"	1.38	1.241	0	0.535592389054134	0.464407610945866	"Alveolar macrophages"	0.942853100002838	"Alveolar macrophages"	"Alveolar fibroblasts"	"hlca"	FALSE	0.942853100002838
"ENSG00000010278"	"CD9"	1.38	1.241	0	0.535592389054134	0.464407610945866	"Alveolar macrophages"	0.999999879249491	"Alveolar macrophages"	"Lymphatic EC differentiating"	"hlca"	FALSE	0.999999879249491
"ENSG00000010278"	"CD9"	1.38	1.241	0	0.535592389054134	0.464407610945866	"Alveolar macrophages"	0.999999999960267	"Alveolar macrophages"	"Basal resting"	"hlca"	FALSE	0.999999999960267
"ENSG00000010278"	"CD9"	1.38	1.241	0	0.535592389054134	0.464407610945866	"Alveolar macrophages"	0.999998826286164	"Alveolar macrophages"	"AT2 proliferating"	"hlca"	FALSE	0.999998826286164
"ENSG00000010278"	"CD9"	1.38	1.241	0	0.535592389054134	0.464407610945866	"Alveolar macrophages"	0.999888076336371	"Alveolar macrophages"	"DC2"	"hlca"	FALSE	0.999888076336371
"ENSG00000010278"	"CD9"	1.38	1.241	0	0.535592389054134	0.464407610945866	"Alveolar macrophages"	0.383053300133339	"Alveolar macrophages"	"Plasmacytoid DCs"	"hlca"	FALSE	0.383053300133339
"ENSG00000010278"	"CD9"	1.38	1.241	0	0.535592389054134	0.464407610945866	"Alveolar macrophages"	0.999988496511193	"Alveolar macrophages"	"EC general capillary"	"hlca"	FALSE	0.999988496511193
